Id,Type,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,aux_date_col
9,1,Afghanistan,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,20-03-2021
19,1,Albania,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,21-03-2021
26,1,Algeria,161,155,148,145,134,127,122,119,117,117,115,116,116,115,114,114,113,112,22-03-2021
37,1,Angola,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,23-03-2021
47,1,Antigua and Barbuda,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,24-03-2021
50,1,Argentina,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,25-03-2021
51,1,Armenia,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,26-03-2021
53,1,Australia,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,27-03-2021
56,1,Austria,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,28-03-2021
57,1,Azerbaijan,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,29-03-2021
58,1,Bahamas,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,30-03-2021
59,1,Bahrain,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,31-03-2021
60,1,Bangladesh,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,01-04-2021
62,1,Barbados,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,02-04-2021
63,1,Belarus,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,03-04-2021
64,1,Belgium,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,04-04-2021
65,1,Belize,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,05-04-2021
66,1,Benin,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,06-04-2021
71,1,Bhutan,423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203,193,183,07-04-2021
72,1,Bolivia (Plurinational State of),331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,08-04-2021
74,1,Bosnia and Herzegovina,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,09-04-2021
75,1,Botswana,262,271,278,278,264,239,221,209,203,189,179,176,170,164,160,156,151,144,10-04-2021
76,1,Brazil,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,11-04-2021
79,1,Brunei Darussalam,28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30,31,31,12-04-2021
80,1,Bulgaria,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,13-04-2021
81,1,Burkina Faso,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343,331,320,14-04-2021
82,1,Burundi,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,15-04-2021
83,1,Cabo Verde,118,109,101,96,91,86,82,78,75,72,70,67,65,63,62,61,59,58,16-04-2021
84,1,Cambodia,488,456,430,404,378,351,326,303,284,265,248,232,215,202,189,178,168,160,17-04-2021
85,1,Cameroon,886,844,803,771,732,692,658,635,618,606,597,589,580,567,564,554,538,529,18-04-2021
86,1,Canada,9,10,10,10,10,11,11,11,12,12,11,11,11,11,11,11,10,10,19-04-2021
89,1,Central African Republic,1280,1290,1280,1250,1230,1200,1170,1130,1090,1050,1000,981,963,1030,961,912,890,829,20-04-2021
90,1,Chad,1420,1410,1400,1370,1350,1330,1340,1300,1310,1270,1240,1210,1190,1170,1170,1160,1140,1140,21-04-2021
92,1,Chile,31,32,28,27,27,25,25,23,21,21,20,18,17,16,15,14,13,13,22-04-2021
93,1,China,59,55,51,48,46,44,42,40,40,37,36,34,33,32,31,30,29,29,23-04-2021
96,1,Colombia,94,93,92,88,85,83,82,83,84,87,85,84,85,85,85,85,84,83,24-04-2021
97,1,Comoros,444,437,429,423,414,404,393,382,370,356,341,326,313,302,293,285,279,273,25-04-2021
98,1,Congo,739,752,769,757,724,677,623,580,552,526,506,488,468,449,433,416,397,378,26-04-2021
100,1,Costa Rica,40,37,38,37,36,33,35,29,29,29,32,30,29,29,29,28,28,27,27-04-2021
101,1,Côte d'Ivoire,704,706,713,711,709,704,699,698,694,700,701,703,702,691,676,658,636,617,28-04-2021
102,1,Croatia,11,10,10,10,10,10,9,9,9,9,9,9,8,9,8,8,7,8,29-04-2021
